full_address_std,IsVerified.RawValue,SpaceUse,LeaseSource,LeaseOrigin,PropertyName,Tenant.Name,TenantIndustry,TenantNAICS,tie_matched_addresses,tie_latitudes,tie_longitudes,tie_geoids
"1485 BAYSHORE BLVD, SAN FRANCISCO, CA 94124, UNITED STATES",False,Office,Third Party - Other,CoStar Research,,,,,"1485 BAY SHORE BLVD, SAN FRANCISCO, CA, 94124 | 1485 BAYSHORE BLVD, SAN FRANCISCO, CA, 94124",37.725535736384 | 37.725535736384,-122.401401989518 | -122.401401989518,060750233002003 | 060750233002003
"3130 LA SELVA DR, SAN MATEO, CA 94403, UNITED STATES",False,Office,Third Party - Other,CoStar Research,,,,,"3130 LA SELVA CIR, SAN MATEO, CA, 94403 | 3130 LA SELVA ST, SAN MATEO, CA, 94403",37.542678745951 | 37.54307237241,-122.284437924233 | -122.285084558557,060816084003008 | 060816084003001
"26 PIER, SAN FRANCISCO, CA 94105, UNITED STATES",False,Office/Retail,Third Party - Other,CoStar Research,,Pilara Family Foundation,Services,Grantmaking and Giving Services,"26 PIER, SAN FRANCISCO, CA, 94111 | 26 PIER, SAN FRANCISCO, CA, 94124",37.795961269966 | 37.740561465372,-122.395085944366 | -122.376715590602,060750105002002 | 060759809001017
"256 EL CAMINO REAL, SAN MATEO, CA 94401, UNITED STATES",False,Office,Third Party - Other,CoStar Research,,,,,"256 S EL CAMINO REAL, SAN MATEO, CA, 94401 | 256 N EL CAMINO REAL, SAN MATEO, CA, 94401",37.563454197511 | 37.568959419958,-122.326559076275 | -122.333189329068,060816064005002 | 060816059022004
"100 SKYLINE PLZ, DALY CITY, CA 94015, UNITED STATES",False,Office,Third Party - Landlord Rep,CoStar Research,,Pace Learning Center,Health Care and Social Assistance,Child Day Care Services,"100 SKYLINE BLVD, DALY CITY, CA, 94015 | 100 SKYLINE DR, DALY CITY, CA, 94015",37.673925650836 | 37.691764185401,-122.488596769759 | -122.494884037259,060816015011000 | 060816010004000
"PIER 5  PACIFIC AVE, SAN FRANCISCO, CA 94105, UNITED STATES",False,Office,Third Party - Landlord Rep,CoStar Research,,Geolo Capital,Finance and Insurance,Portfolio Management and Investment Advice,"5 PACIFIC AVE, SAN FRANCISCO, CA, 94111 | 5 PACIFIC AVE, SAN FRANCISCO, CA, 94133",37.798097684223 | 37.796195392821,-122.397413747842 | -122.412913979,060750105002006 | 060750108002001
"435 BROADWAY BLVD, SAN FRANCISCO, CA 94133, UNITED STATES",False,Retail,Third Party - Tenant Rep,CoStar Research,,Broadway Studios,Accommodation and Food Services,Drinking Places (Alcoholic Beverages),"435 BROADWAY ST, SAN FRANCISCO, CA, 94133 | 435 BROADWAY, SAN FRANCISCO, CA, 94133",37.798087228536 | 37.798087228536,-122.404443200708 | -122.404443200708,060750106002006 | 060750106002006
"88 N HILL DR, BRISBANE, CA 94005, UNITED STATES",False,Office,Third Party - Landlord Rep,CoStar Research,,,,,"88 S HILL DR, BRISBANE, CA, 94005 | 88 W HILL DR, BRISBANE, CA, 94005",37.686556712518 | 37.692860513616,-122.411619079175 | -122.421788578945,060816001002017 | 060816001002013
"313 SAN MATEO DR, SAN MATEO, CA 94401, UNITED STATES",False,Retail,Third Party - Other,CoStar Research,,My Day Wedding and Photo Studio,,,"313 S SAN MATEO DR, SAN MATEO, CA, 94401 | 313 N SAN MATEO DR, SAN MATEO, CA, 94401",37.564197193327 | 37.571051391926,-122.323970606746 | -122.331329802994,060816063003022 | 060816059021003
"751 SAN BRUNO AVE, SAN BRUNO, CA 94066, UNITED STATES",False,Retail,Third Party - Landlord Rep,CoStar Research,,,,,"751 SAN BRUNO AVE W, SAN BRUNO, CA, 94066 | 751 SAN BRUNO AVE E, SAN BRUNO, CA, 94066",37.628528342383 | 37.630969151044,-122.417215794707 | -122.406114264877,060816040001002 | 060816042001004
"777 SAN BRUNO AVE, SAN BRUNO, CA 94066, UNITED STATES",False,Retail,Third Party - Other,CoStar Research,,Velocity Courier Svc Inc,Transportation and Warehousing,Couriers and Express Delivery Services,"777 SAN BRUNO AVE W, SAN BRUNO, CA, 94066 | 777 SAN BRUNO AVE E, SAN BRUNO, CA, 94066",37.628498597917 | 37.6309735587,-122.417293460825 | -122.405808919857,060816040001002 | 060816042001004
"675 SAN BRUNO AVE, SAN BRUNO, CA 94066, UNITED STATES",False,Industrial,Third Party - Landlord Rep,CoStar Research,,Pit Stop Auto,Services,,"675 SAN BRUNO AVE W, SAN BRUNO, CA, 94066 | 675 SAN BRUNO AVE E, SAN BRUNO, CA, 94066",37.628849658651 | 37.630955198054,-122.416374331022 | -122.407031937646,060816041042006 | 060816042001014
"31 SKYLINE PLZ, DALY CITY, CA 94015, UNITED STATES",False,Retail,Third Party - Landlord Rep,CoStar Research,,,,,"31 SKYLINE BLVD, DALY CITY, CA, 94015 | 31 SKYLINE DR, DALY CITY, CA, 94015",37.677628487762 | 37.693853937592,-122.48994771527 | -122.495688149313,060816015011000 | 060816010001000
"PIER 70, SAN FRANCISCO, CA 94107, UNITED STATES",False,Retail,Media - News Outlets,CoStar Research,The Gallery at Historic Bethlehem Steel Bldg,The Palm Court Restaurant,Accommodation and Food Services,,"70 PIER, SAN FRANCISCO, CA, 94111 | 70 PIER, SAN FRANCISCO, CA, 94124",37.795165988875 | 37.741103457659,-122.394547176011 | -122.376406692845,060750105002002 | 060759809001017
"PIER 70, SAN FRANCISCO, CA 94107, UNITED STATES",False,Flex,Third Party - Landlord Rep,CoStar Research,70 Pier Bldg 102,Juul,Retailer,,"70 PIER, SAN FRANCISCO, CA, 94111 | 70 PIER, SAN FRANCISCO, CA, 94124",37.795165988875 | 37.741103457659,-122.394547176011 | -122.376406692845,060750105002002 | 060759809001017
"PIER 70, SAN FRANCISCO, CA 94107, UNITED STATES",False,Flex,Third Party - Landlord Rep,CoStar Research,Bldg 104,JUUL,Retailer,Tobacco Stores,"70 PIER, SAN FRANCISCO, CA, 94111 | 70 PIER, SAN FRANCISCO, CA, 94124",37.795165988875 | 37.741103457659,-122.394547176011 | -122.376406692845,060750105002002 | 060759809001017
"499 SEAPORT CIR, REDWOOD CITY, CA 94063, UNITED STATES",False,Office,Third Party - Landlord Rep,CoStar Research,,,,,"499 SEAPORT BLVD, REDWOOD CITY, CA, 94063 | 499 SEAPORT CT, REDWOOD CITY, CA, 94063",37.49849564196 | 37.50297070501,-122.212266111685 | -122.211757491611,060816103021005 | 060816103021005
"PIER 70, SAN FRANCISCO, CA 94107, UNITED STATES",False,Industrial,Third Party - Landlord Rep,CoStar Research,Bldg 14,Obscura Digital,"Professional, Scientific, and Technical Services",Marketing Consulting Services,"70 PIER, SAN FRANCISCO, CA, 94111 | 70 PIER, SAN FRANCISCO, CA, 94124",37.795165988875 | 37.741103457659,-122.394547176011 | -122.376406692845,060750105002002 | 060759809001017
